month,product_id,demand_units
2023-03,SKU-048,131
2023-03,SKU-049,124
2023-03,SKU-050,39
2023-03,SKU-051,81
2023-03,SKU-052,145
2023-03,SKU-053,109
2023-03,SKU-054,122
2023-03,SKU-055,232
2023-03,SKU-056,39
2023-03,SKU-057,232
2023-03,SKU-058,344
2023-03,SKU-059,56
2023-03,SKU-060,50
2023-03,SKU-061,153
2023-03,SKU-062,320
2023-03,SKU-063,233
2023-03,SKU-064,173
2023-03,SKU-065,51
2023-03,SKU-066,93
2023-03,SKU-067,223
2023-03,SKU-068,383
2023-03,SKU-069,116
2023-03,SKU-070,314
2023-03,SKU-071,61
2023-03,SKU-072,218
2023-03,SKU-073,140
2023-03,SKU-074,92
2023-03,SKU-075,92
2023-03,SKU-076,218
2023-03,SKU-077,423
2023-03,SKU-078,645
2023-03,SKU-079,17
2023-03,SKU-080,105
2023-03,SKU-081,27
2023-03,SKU-082,258
2023-03,SKU-083,107
2023-03,SKU-084,106
2023-03,SKU-085,285
2023-03,SKU-086,82
2023-03,SKU-087,487
2023-03,SKU-088,101
2023-03,SKU-089,97
2023-03,SKU-090,288
2023-03,SKU-091,89
2023-03,SKU-092,69
2023-03,SKU-093,211
2023-03,SKU-094,143
2023-03,SKU-095,140
2023-03,SKU-096,68
2023-03,SKU-097,47
2023-03,SKU-098,111
2023-03,SKU-099,58
2023-03,SKU-100,127
2023-03,SKU-101,179
2023-03,SKU-102,19
2023-03,SKU-103,95
2023-03,SKU-104,206
2023-03,SKU-105,110
2023-03,SKU-106,181
2023-03,SKU-107,365
2023-03,SKU-108,57
2023-03,SKU-109,267
2023-03,SKU-110,84
2023-03,SKU-111,74
2023-03,SKU-112,249
2023-03,SKU-113,31
2023-03,SKU-114,119
2023-03,SKU-115,81
2023-03,SKU-116,73
2023-03,SKU-117,51
2023-03,SKU-118,902
2023-03,SKU-119,316
2023-03,SKU-120,30
2023-03,SKU-121,178
2023-03,SKU-122,287
2023-03,SKU-123,183
2023-03,SKU-124,225
2023-03,SKU-125,192
2023-03,SKU-126,76
2023-03,SKU-127,210
2023-03,SKU-128,88
2023-04,SKU-001,289
2023-04,SKU-002,80
2023-04,SKU-003,191
2023-04,SKU-004,394
2023-04,SKU-005,55
2023-04,SKU-006,141
2023-04,SKU-007,252
2023-04,SKU-008,140
2023-04,SKU-009,398
2023-04,SKU-010,161
2023-04,SKU-011,258
2023-04,SKU-012,90
2023-04,SKU-013,765
2023-04,SKU-014,86
2023-04,SKU-015,169
2023-04,SKU-016,209
2023-04,SKU-017,387
2023-04,SKU-018,56
2023-04,SKU-019,487
2023-04,SKU-020,51
2023-04,SKU-021,401
2023-04,SKU-022,121
2023-04,SKU-023,76
2023-04,SKU-024,13
2023-04,SKU-025,306
2023-04,SKU-026,219
2023-04,SKU-027,119
2023-04,SKU-028,141
2023-04,SKU-029,32
2023-04,SKU-030,354
2023-04,SKU-031,66
2023-04,SKU-032,125
2023-04,SKU-033,166
2023-04,SKU-034,189
2023-04,SKU-035,64
2023-04,SKU-036,69
2023-04,SKU-037,172
2023-04,SKU-038,103
2023-04,SKU-039,324
2023-04,SKU-040,218
2023-04,SKU-041,596
2023-04,SKU-042,26
2023-04,SKU-043,178
2023-04,SKU-044,125
2023-04,SKU-045,121
2023-04,SKU-046,108
2023-04,SKU-047,91
2023-04,SKU-048,132
2023-04,SKU-049,136
2023-04,SKU-050,39
2023-04,SKU-051,94
2023-04,SKU-052,154
2023-04,SKU-053,120
2023-04,SKU-054,141
2023-04,SKU-055,255
2023-04,SKU-056,48
2023-04,SKU-057,248
2023-04,SKU-058,339
2023-04,SKU-059,46
2023-04,SKU-060,36
2023-04,SKU-061,159
2023-04,SKU-062,352
2023-04,SKU-063,234
2023-04,SKU-064,166
2023-04,SKU-065,67
2023-04,SKU-066,95
2023-04,SKU-067,231
2023-04,SKU-068,426
2023-04,SKU-069,100
2023-04,SKU-070,275
2023-04,SKU-071,62
2023-04,SKU-072,205
2023-04,SKU-073,128
2023-04,SKU-074,94
2023-04,SKU-075,88
2023-04,SKU-076,220
2023-04,SKU-077,351
2023-04,SKU-078,609
2023-04,SKU-079,27
2023-04,SKU-080,100
2023-04,SKU-081,36
2023-04,SKU-082,252
2023-04,SKU-083,83
2023-04,SKU-084,86
2023-04,SKU-085,270
2023-04,SKU-086,60
2023-04,SKU-087,429
2023-04,SKU-088,115
2023-04,SKU-089,75
2023-04,SKU-090,256
2023-04,SKU-091,87
2023-04,SKU-092,79
2023-04,SKU-093,216
2023-04,SKU-094,143
2023-04,SKU-095,137
2023-04,SKU-096,101
2023-04,SKU-097,64
2023-04,SKU-098,80
2023-04,SKU-099,95
2023-04,SKU-100,162
2023-04,SKU-101,213
2023-04,SKU-102,25
2023-04,SKU-103,114
2023-04,SKU-104,205
2023-04,SKU-105,129
2023-04,SKU-106,188
2023-04,SKU-107,358
2023-04,SKU-108,56
2023-04,SKU-109,296
2023-04,SKU-110,106
2023-04,SKU-111,82
2023-04,SKU-112,244
2023-04,SKU-113,38
2023-04,SKU-114,127
2023-04,SKU-115,106
2023-04,SKU-116,58
2023-04,SKU-117,68
2023-04,SKU-118,899
2023-04,SKU-119,369
2023-04,SKU-120,22
2023-04,SKU-121,164
2023-04,SKU-122,301
2023-04,SKU-123,165
2023-04,SKU-124,177
2023-04,SKU-125,197
2023-04,SKU-126,66
2023-04,SKU-127,204
2023-04,SKU-128,72
2023-05,SKU-001,288
2023-05,SKU-002,87
2023-05,SKU-003,201
2023-05,SKU-004,411
2023-05,SKU-005,43
2023-05,SKU-006,121
2023-05,SKU-007,231
2023-05,SKU-008,139
2023-05,SKU-009,361
2023-05,SKU-010,121
2023-05,SKU-011,211
2023-05,SKU-012,98
2023-05,SKU-013,693
2023-05,SKU-014,68
2023-05,SKU-015,146
2023-05,SKU-016,171
2023-05,SKU-017,321
2023-05,SKU-018,53
2023-05,SKU-019,489
2023-05,SKU-020,31
2023-05,SKU-021,337
2023-05,SKU-022,107
2023-05,SKU-023,87
2023-05,SKU-024,12
2023-05,SKU-025,307
2023-05,SKU-026,223
2023-05,SKU-027,169
2023-05,SKU-028,140
2023-05,SKU-029,26
2023-05,SKU-030,368
2023-05,SKU-031,101
2023-05,SKU-032,161
2023-05,SKU-033,213
2023-05,SKU-034,193
2023-05,SKU-035,62
2023-05,SKU-036,79
2023-05,SKU-037,206
2023-05,SKU-038,108
2023-05,SKU-039,339
2023-05,SKU-040,244
2023-05,SKU-041,673
2023-05,SKU-042,23
2023-05,SKU-043,245
2023-05,SKU-044,126
2023-05,SKU-045,105
2023-05,SKU-046,113
2023-05,SKU-047,97
2023-05,SKU-048,136
2023-05,SKU-049,150
2023-05,SKU-050,44
2023-05,SKU-051,109
2023-05,SKU-052,121
2023-05,SKU-053,120
2023-05,SKU-054,159
2023-05,SKU-055,250
2023-05,SKU-056,39
2023-05,SKU-057,233
2023-05,SKU-058,350
2023-05,SKU-059,54
2023-05,SKU-060,44
2023-05,SKU-061,155
2023-05,SKU-062,337
2023-05,SKU-063,251
2023-05,SKU-064,209
2023-05,SKU-065,49
2023-05,SKU-066,98
2023-05,SKU-067,224
2023-05,SKU-068,342
2023-05,SKU-069,85
2023-05,SKU-070,273
2023-05,SKU-071,50
2023-05,SKU-072,196
2023-05,SKU-073,129
2023-05,SKU-074,77
2023-05,SKU-075,67
2023-05,SKU-076,154
2023-05,SKU-077,328
2023-05,SKU-078,581
2023-05,SKU-079,17
2023-05,SKU-080,69
2023-05,SKU-081,28
2023-05,SKU-082,223
2023-05,SKU-083,92
2023-05,SKU-084,103
2023-05,SKU-085,209
2023-05,SKU-086,62
2023-05,SKU-087,446
2023-05,SKU-088,95
2023-05,SKU-089,70
2023-05,SKU-090,286
2023-05,SKU-091,78
2023-05,SKU-092,77
2023-05,SKU-093,204
2023-05,SKU-094,167
2023-05,SKU-095,157
2023-05,SKU-096,97
2023-05,SKU-097,65
2023-05,SKU-098,142
2023-05,SKU-099,97
2023-05,SKU-100,160
2023-05,SKU-101,203
2023-05,SKU-102,40
2023-05,SKU-103,126
2023-05,SKU-104,180
2023-05,SKU-105,143
2023-05,SKU-106,204
2023-05,SKU-107,436
2023-05,SKU-108,58
2023-05,SKU-109,341
2023-05,SKU-110,80
2023-05,SKU-111,92
2023-05,SKU-112,304
2023-05,SKU-113,43
2023-05,SKU-114,127
2023-05,SKU-115,122
2023-05,SKU-116,61
2023-05,SKU-117,68
2023-05,SKU-118,924
2023-05,SKU-119,378
2023-05,SKU-120,19
2023-05,SKU-121,158
2023-05,SKU-122,315
2023-05,SKU-123,218
2023-05,SKU-124,227
2023-05,SKU-125,184
2023-05,SKU-126,68
2023-05,SKU-127,193
2023-05,SKU-128,74
2023-06,SKU-001,233
2023-06,SKU-002,72
2023-06,SKU-003,166
2023-06,SKU-004,377
2023-06,SKU-005,48
2023-06,SKU-006,117
2023-06,SKU-007,173
2023-06,SKU-008,113
2023-06,SKU-009,326
2023-06,SKU-010,105
2023-06,SKU-011,196
2023-06,SKU-012,91
2023-06,SKU-013,598
2023-06,SKU-014,69
2023-06,SKU-015,137
2023-06,SKU-016,217
2023-06,SKU-017,299
2023-06,SKU-018,45
2023-06,SKU-019,434
2023-06,SKU-020,44
2023-06,SKU-021,338
2023-06,SKU-022,118
2023-06,SKU-023,72
2023-06,SKU-024,25
2023-06,SKU-025,282
2023-06,SKU-026,233
2023-06,SKU-027,156
2023-06,SKU-028,125
2023-06,SKU-029,24
2023-06,SKU-030,402
2023-06,SKU-031,109
2023-06,SKU-032,144
2023-06,SKU-033,196
2023-06,SKU-034,206
2023-06,SKU-035,76
2023-06,SKU-036,84
2023-06,SKU-037,193
2023-06,SKU-038,120
2023-06,SKU-039,363
2023-06,SKU-040,289
2023-06,SKU-041,808
2023-06,SKU-042,33
2023-06,SKU-043,255
2023-06,SKU-044,133
2023-06,SKU-045,137
2023-06,SKU-046,123
2023-06,SKU-047,97
2023-06,SKU-048,128
2023-06,SKU-049,157
2023-06,SKU-050,40
2023-06,SKU-051,100
2023-06,SKU-052,107
2023-06,SKU-053,127
2023-06,SKU-054,141
2023-06,SKU-055,248
2023-06,SKU-056,54
2023-06,SKU-057,226
2023-06,SKU-058,321
2023-06,SKU-059,34
2023-06,SKU-060,37
2023-06,SKU-061,132
2023-06,SKU-062,297
2023-06,SKU-063,207
2023-06,SKU-064,157
2023-06,SKU-065,30
2023-06,SKU-066,79
2023-06,SKU-067,178
2023-06,SKU-068,303
2023-06,SKU-069,79
2023-06,SKU-070,179
2023-06,SKU-071,49
2023-06,SKU-072,171
2023-06,SKU-073,90
2023-06,SKU-074,65
2023-06,SKU-075,65
2023-06,SKU-076,171
2023-06,SKU-077,297
2023-06,SKU-078,500
2023-06,SKU-079,24
2023-06,SKU-080,70
2023-06,SKU-081,35
2023-06,SKU-082,194
2023-06,SKU-083,81
2023-06,SKU-084,104
2023-06,SKU-085,243
2023-06,SKU-086,66
2023-06,SKU-087,439
2023-06,SKU-088,107
2023-06,SKU-089,78
2023-06,SKU-090,309
2023-06,SKU-091,81
2023-06,SKU-092,69
2023-06,SKU-093,272
2023-06,SKU-094,176
2023-06,SKU-095,154
2023-06,SKU-096,102
2023-06,SKU-097,72
2023-06,SKU-098,118
2023-06,SKU-099,92
2023-06,SKU-100,125
2023-06,SKU-101,232
2023-06,SKU-102,39
2023-06,SKU-103,111
2023-06,SKU-104,197
2023-06,SKU-105,168
2023-06,SKU-106,268
2023-06,SKU-107,402
2023-06,SKU-108,45
2023-06,SKU-109,344
2023-06,SKU-110,95
2023-06,SKU-111,102
2023-06,SKU-112,302
2023-06,SKU-113,52
2023-06,SKU-114,135
2023-06,SKU-115,132
2023-06,SKU-116,53
2023-06,SKU-117,74
2023-06,SKU-118,887
2023-06,SKU-119,325
2023-06,SKU-120,19
2023-06,SKU-121,161
2023-06,SKU-122,307
2023-06,SKU-123,187
2023-06,SKU-124,214
2023-06,SKU-125,175
2023-06,SKU-126,54
2023-06,SKU-127,187
2023-06,SKU-128,69
2023-07,SKU-001,253
2023-07,SKU-002,61
2023-07,SKU-003,159
2023-07,SKU-004,375
2023-07,SKU-005,40
2023-07,SKU-006,92
2023-07,SKU-007,215
2023-07,SKU-008,81
2023-07,SKU-009,284
2023-07,SKU-010,131
2023-07,SKU-011,199
2023-07,SKU-012,80
2023-07,SKU-013,623
2023-07,SKU-014,68
2023-07,SKU-015,137
2023-07,SKU-016,178
2023-07,SKU-017,338
2023-07,SKU-018,73
2023-07,SKU-019,478
2023-07,SKU-020,39
2023-07,SKU-021,389
2023-07,SKU-022,118
2023-07,SKU-023,101
2023-07,SKU-024,11
2023-07,SKU-025,387
2023-07,SKU-026,290
2023-07,SKU-027,179
2023-07,SKU-028,205
2023-07,SKU-029,47
2023-07,SKU-030,474
2023-07,SKU-031,114
2023-07,SKU-032,198
2023-07,SKU-033,264
2023-07,SKU-034,261
2023-07,SKU-035,84
2023-07,SKU-036,118
2023-07,SKU-037,252
2023-07,SKU-038,137
2023-07,SKU-039,431
2023-07,SKU-040,305
2023-07,SKU-041,866
2023-07,SKU-042,48
2023-07,SKU-043,350
2023-07,SKU-044,139
2023-07,SKU-045,134
2023-07,SKU-046,122
2023-07,SKU-047,117
2023-07,SKU-048,130
2023-07,SKU-049,161
2023-07,SKU-050,34
2023-07,SKU-051,118
2023-07,SKU-052,178
2023-07,SKU-053,125
2023-07,SKU-054,140
2023-07,SKU-055,243
2023-07,SKU-056,43
2023-07,SKU-057,228
2023-07,SKU-058,326
2023-07,SKU-059,37
2023-07,SKU-060,48
2023-07,SKU-061,117
2023-07,SKU-062,241
2023-07,SKU-063,189
2023-07,SKU-064,157
2023-07,SKU-065,43
2023-07,SKU-066,83
2023-07,SKU-067,194
2023-07,SKU-068,290
2023-07,SKU-069,71
2023-07,SKU-070,193
2023-07,SKU-071,58
2023-07,SKU-072,159
2023-07,SKU-073,102
2023-07,SKU-074,78
2023-07,SKU-075,80
2023-07,SKU-076,182
2023-07,SKU-077,277
2023-07,SKU-078,460
2023-07,SKU-079,16
2023-07,SKU-080,74
2023-07,SKU-081,26
2023-07,SKU-082,219
2023-07,SKU-083,95
2023-07,SKU-084,102
2023-07,SKU-085,283
2023-07,SKU-086,79
2023-07,SKU-087,511
2023-07,SKU-088,152
2023-07,SKU-089,116
2023-07,SKU-090,325
2023-07,SKU-091,111
2023-07,SKU-092,91
2023-07,SKU-093,301
2023-07,SKU-094,200
2023-07,SKU-095,179
2023-07,SKU-096,115
2023-07,SKU-097,83
2023-07,SKU-098,148
2023-07,SKU-099,100
2023-07,SKU-100,172
2023-07,SKU-101,280
2023-07,SKU-102,48
2023-07,SKU-103,159
2023-07,SKU-104,268
2023-07,SKU-105,150
2023-07,SKU-106,246
2023-07,SKU-107,506
2023-07,SKU-108,63
2023-07,SKU-109,372
2023-07,SKU-110,108
2023-07,SKU-111,113
2023-07,SKU-112,301
2023-07,SKU-113,32
2023-07,SKU-114,141
2023-07,SKU-115,103
2023-07,SKU-116,56
2023-07,SKU-117,64
2023-07,SKU-118,932
2023-07,SKU-119,351
2023-07,SKU-120,35
2023-07,SKU-121,159
2023-07,SKU-122,280
2023-07,SKU-123,147
2023-07,SKU-124,156
2023-07,SKU-125,169
2023-07,SKU-126,61
2023-07,SKU-127,178
2023-07,SKU-128,58
2023-08,SKU-001,213
2023-08,SKU-002,59
2023-08,SKU-003,149
2023-08,SKU-004,294
2023-08,SKU-005,38
2023-08,SKU-006,108
2023-08,SKU-007,183
2023-08,SKU-008,91
2023-08,SKU-009,287
2023-08,SKU-010,116
2023-08,SKU-011,200
2023-08,SKU-012,120
2023-08,SKU-013,612
2023-08,SKU-014,79
2023-08,SKU-015,147
2023-08,SKU-016,215
2023-08,SKU-017,351
2023-08,SKU-018,74
2023-08,SKU-019,510
2023-08,SKU-020,66
2023-08,SKU-021,413
2023-08,SKU-022,113
2023-08,SKU-023,100
2023-08,SKU-024,18
2023-08,SKU-025,394
2023-08,SKU-026,280
2023-08,SKU-027,201
2023-08,SKU-028,223
2023-08,SKU-029,44
2023-08,SKU-030,521
2023-08,SKU-031,121
2023-08,SKU-032,187
2023-08,SKU-033,250
2023-08,SKU-034,252
2023-08,SKU-035,91
2023-08,SKU-036,106
2023-08,SKU-037,257
2023-08,SKU-038,156
2023-08,SKU-039,455
2023-08,SKU-040,288
2023-08,SKU-041,823
2023-08,SKU-042,40
2023-08,SKU-043,289
2023-08,SKU-044,180
2023-08,SKU-045,118
2023-08,SKU-046,122
2023-08,SKU-047,90
2023-08,SKU-048,152
2023-08,SKU-049,131
2023-08,SKU-050,30
2023-08,SKU-051,97
2023-08,SKU-052,140
2023-08,SKU-053,106
2023-08,SKU-054,121
2023-08,SKU-055,183
2023-08,SKU-056,50
2023-08,SKU-057,163
2023-08,SKU-058,286
2023-08,SKU-059,49
2023-08,SKU-060,37
2023-08,SKU-061,108
2023-08,SKU-062,249
2023-08,SKU-063,155
2023-08,SKU-064,132
2023-08,SKU-065,37
2023-08,SKU-066,74
2023-08,SKU-067,133
2023-08,SKU-068,218
2023-08,SKU-069,70
2023-08,SKU-070,213
2023-08,SKU-071,48
2023-08,SKU-072,145
2023-08,SKU-073,90
2023-08,SKU-074,70
2023-08,SKU-075,53
2023-08,SKU-076,181
2023-08,SKU-077,279
2023-08,SKU-078,541
2023-08,SKU-079,33
2023-08,SKU-080,78
2023-08,SKU-081,29
2023-08,SKU-082,252
2023-08,SKU-083,96
2023-08,SKU-084,101
2023-08,SKU-085,301
2023-08,SKU-086,80
2023-08,SKU-087,532
2023-08,SKU-088,139
2023-08,SKU-089,115
2023-08,SKU-090,407
2023-08,SKU-091,128
2023-08,SKU-092,101
2023-08,SKU-093,327
2023-08,SKU-094,203
2023-08,SKU-095,191
2023-08,SKU-096,160
2023-08,SKU-097,78
2023-08,SKU-098,163
2023-08,SKU-099,89
2023-08,SKU-100,203
2023-08,SKU-101,294
2023-08,SKU-102,39
2023-08,SKU-103,167
2023-08,SKU-104,307
2023-08,SKU-105,148
2023-08,SKU-106,260
2023-08,SKU-107,447
2023-08,SKU-108,57
2023-08,SKU-109,365
2023-08,SKU-110,106
2023-08,SKU-111,103
2023-08,SKU-112,260
2023-08,SKU-113,46
2023-08,SKU-114,107
2023-08,SKU-115,81
2023-08,SKU-116,46
2023-08,SKU-117,58
2023-08,SKU-118,770
2023-08,SKU-119,296
2023-08,SKU-120,21
2023-08,SKU-121,144
2023-08,SKU-122,211
2023-08,SKU-123,141
2023-08,SKU-124,189
2023-08,SKU-125,149
2023-08,SKU-126,52
2023-08,SKU-127,129
2023-08,SKU-128,55
2023-09,SKU-001,217
2023-09,SKU-002,65
2023-09,SKU-003,156
2023-09,SKU-004,304
2023-09,SKU-005,41
2023-09,SKU-006,97
2023-09,SKU-007,164
2023-09,SKU-008,104
2023-09,SKU-009,319
2023-09,SKU-010,118
2023-09,SKU-011,183
2023-09,SKU-012,82
2023-09,SKU-013,649
2023-09,SKU-014,84
2023-09,SKU-015,165
2023-09,SKU-016,226
2023-09,SKU-017,368
2023-09,SKU-018,84
2023-09,SKU-019,573
2023-09,SKU-020,50
2023-09,SKU-021,477
2023-09,SKU-022,146
2023-09,SKU-023,96
2023-09,SKU-024,25
2023-09,SKU-025,452
2023-09,SKU-026,292
2023-09,SKU-027,209
2023-09,SKU-028,221
2023-09,SKU-029,54
2023-09,SKU-030,531
2023-09,SKU-031,130
2023-09,SKU-032,156
2023-09,SKU-033,287
2023-09,SKU-034,251
2023-09,SKU-035,110
2023-09,SKU-036,98
2023-09,SKU-037,235
2023-09,SKU-038,150
2023-09,SKU-039,449
2023-09,SKU-040,309
2023-09,SKU-041,793
2023-09,SKU-042,43
2023-09,SKU-043,240
2023-09,SKU-044,152
2023-09,SKU-045,111
2023-09,SKU-046,130
2023-09,SKU-047,84
2023-09,SKU-048,129
2023-09,SKU-049,129
2023-09,SKU-050,30
2023-09,SKU-051,96
