origin,product_id,model,actual_units,absolute_error,signed_error
2025-08-01,SKU-073,seasonal_naive,92,60.0,0.0
2025-08-01,SKU-073,weekday_mean_8w,92,47.5,-12.5
2025-08-01,SKU-074,seasonal_naive,45,53.0,23.0
2025-08-01,SKU-074,weekday_mean_8w,45,36.25,9.5
2025-08-01,SKU-075,seasonal_naive,73,41.0,15.0
2025-08-01,SKU-075,weekday_mean_8w,73,35.5,-6.5
2025-08-01,SKU-076,seasonal_naive,162,90.0,-34.0
2025-08-01,SKU-076,weekday_mean_8w,162,87.75,-13.5
2025-08-01,SKU-077,seasonal_naive,277,83.0,-69.0
2025-08-01,SKU-077,weekday_mean_8w,277,67.0,-27.0
2025-08-01,SKU-078,seasonal_naive,499,91.0,-31.0
2025-08-01,SKU-078,weekday_mean_8w,499,87.75,-70.5
2025-08-01,SKU-079,seasonal_naive,12,16.0,8.0
2025-08-01,SKU-079,weekday_mean_8w,12,18.75,9.0
2025-08-01,SKU-080,seasonal_naive,79,57.0,1.0
2025-08-01,SKU-080,weekday_mean_8w,79,47.0,-11.5
2025-08-01,SKU-081,seasonal_naive,33,39.0,15.0
2025-08-01,SKU-081,weekday_mean_8w,33,30.5,-2.0
2025-08-01,SKU-082,seasonal_naive,227,71.0,-23.0
2025-08-01,SKU-082,weekday_mean_8w,227,60.75,-5.5
2025-08-01,SKU-083,seasonal_naive,100,78.0,-4.0
2025-08-01,SKU-083,weekday_mean_8w,100,53.75,-18.5
2025-08-01,SKU-084,seasonal_naive,116,68.0,-4.0
2025-08-01,SKU-084,weekday_mean_8w,116,72.25,-30.0
2025-08-01,SKU-085,seasonal_naive,279,117.0,-23.0
2025-08-01,SKU-085,weekday_mean_8w,279,91.5,-31.5
2025-08-01,SKU-086,seasonal_naive,104,56.0,-16.0
2025-08-01,SKU-086,weekday_mean_8w,104,49.0,-25.5
2025-08-01,SKU-087,seasonal_naive,490,138.0,-38.0
2025-08-01,SKU-087,weekday_mean_8w,490,132.25,-70.0
2025-08-01,SKU-088,seasonal_naive,109,117.0,19.0
2025-08-01,SKU-088,weekday_mean_8w,109,81.75,1.0
2025-08-01,SKU-089,seasonal_naive,88,54.0,20.0
2025-08-01,SKU-089,weekday_mean_8w,88,37.75,-5.0
2025-08-01,SKU-090,seasonal_naive,316,102.0,28.0
2025-08-01,SKU-090,weekday_mean_8w,316,64.75,-18.5
2025-08-01,SKU-091,seasonal_naive,95,57.0,25.0
2025-08-01,SKU-091,weekday_mean_8w,95,39.5,-2.5
2025-08-01,SKU-092,seasonal_naive,98,86.0,-30.0
2025-08-01,SKU-092,weekday_mean_8w,98,60.0,-26.0
2025-08-01,SKU-093,seasonal_naive,275,67.0,-23.0
2025-08-01,SKU-093,weekday_mean_8w,275,55.75,-9.0
2025-08-01,SKU-094,seasonal_naive,197,77.0,3.0
2025-08-01,SKU-094,weekday_mean_8w,197,58.5,-24.0
2025-08-01,SKU-095,seasonal_naive,155,59.0,5.0
2025-08-01,SKU-095,weekday_mean_8w,155,57.0,9.5
2025-08-01,SKU-096,seasonal_naive,128,78.0,0.0
2025-08-01,SKU-096,weekday_mean_8w,128,70.5,-14.0
2025-08-01,SKU-097,seasonal_naive,76,46.0,-20.0
2025-08-01,SKU-097,weekday_mean_8w,76,54.0,-6.5
2025-08-01,SKU-098,seasonal_naive,128,52.0,-12.0
2025-08-01,SKU-098,weekday_mean_8w,128,51.75,0.0
2025-08-01,SKU-099,seasonal_naive,91,55.0,-23.0
2025-08-01,SKU-099,weekday_mean_8w,91,42.5,-9.5
2025-08-01,SKU-100,seasonal_naive,147,165.0,37.0
2025-08-01,SKU-100,weekday_mean_8w,147,110.75,34.5
2025-08-01,SKU-101,seasonal_naive,264,104.0,24.0
2025-08-01,SKU-101,weekday_mean_8w,264,64.75,-11.5
2025-08-01,SKU-102,seasonal_naive,48,34.0,12.0
2025-08-01,SKU-102,weekday_mean_8w,48,31.25,-16.5
2025-08-01,SKU-103,seasonal_naive,126,72.0,22.0
2025-08-01,SKU-103,weekday_mean_8w,126,46.75,9.5
2025-08-01,SKU-104,seasonal_naive,302,132.0,-82.0
2025-08-01,SKU-104,weekday_mean_8w,302,103.5,-43.0
2025-08-01,SKU-105,seasonal_naive,132,44.0,20.0
2025-08-01,SKU-105,weekday_mean_8w,132,43.0,11.0
2025-08-01,SKU-106,seasonal_naive,226,92.0,-54.0
2025-08-01,SKU-106,weekday_mean_8w,226,73.75,-6.5
2025-08-01,SKU-107,seasonal_naive,404,100.0,48.0
2025-08-01,SKU-107,weekday_mean_8w,404,91.5,36.5
2025-08-01,SKU-108,seasonal_naive,56,48.0,-28.0
2025-08-01,SKU-108,weekday_mean_8w,56,42.75,-14.0
2025-08-01,SKU-109,seasonal_naive,322,120.0,-30.0
2025-08-01,SKU-109,weekday_mean_8w,322,105.75,17.5
2025-08-01,SKU-110,seasonal_naive,107,57.0,-7.0
2025-08-01,SKU-110,weekday_mean_8w,107,45.5,-20.0
2025-08-01,SKU-111,seasonal_naive,95,61.0,-31.0
2025-08-01,SKU-111,weekday_mean_8w,95,33.75,-5.0
2025-08-01,SKU-112,seasonal_naive,230,142.0,-54.0
2025-08-01,SKU-112,weekday_mean_8w,230,126.75,-14.0
2025-08-01,SKU-113,seasonal_naive,42,40.0,-14.0
2025-08-01,SKU-113,weekday_mean_8w,42,27.5,3.5
2025-08-01,SKU-114,seasonal_naive,79,35.0,17.0
2025-08-01,SKU-114,weekday_mean_8w,79,49.75,37.5
2025-08-01,SKU-115,seasonal_naive,66,60.0,42.0
2025-08-01,SKU-115,weekday_mean_8w,66,44.25,31.0
2025-08-01,SKU-116,seasonal_naive,46,36.0,-22.0
2025-08-01,SKU-116,weekday_mean_8w,46,35.25,4.0
2025-08-01,SKU-117,seasonal_naive,42,44.0,34.0
2025-08-01,SKU-117,weekday_mean_8w,42,25.75,18.0
2025-08-01,SKU-118,seasonal_naive,729,165.0,87.0
2025-08-01,SKU-118,weekday_mean_8w,729,147.25,103.0
2025-08-01,SKU-119,seasonal_naive,263,67.0,-11.0
2025-08-01,SKU-119,weekday_mean_8w,263,78.0,62.0
2025-08-01,SKU-120,seasonal_naive,25,23.0,-5.0
2025-08-01,SKU-120,weekday_mean_8w,25,24.75,-5.0
2025-08-01,SKU-121,seasonal_naive,118,66.0,42.0
2025-08-01,SKU-121,weekday_mean_8w,118,51.5,34.0
2025-08-01,SKU-122,seasonal_naive,239,103.0,13.0
2025-08-01,SKU-122,weekday_mean_8w,239,67.25,7.0
2025-08-01,SKU-123,seasonal_naive,128,60.0,4.0
2025-08-01,SKU-123,weekday_mean_8w,128,51.75,21.0
2025-08-01,SKU-124,seasonal_naive,144,120.0,-16.0
2025-08-01,SKU-124,weekday_mean_8w,144,81.25,31.5
2025-08-01,SKU-125,seasonal_naive,125,79.0,35.0
2025-08-01,SKU-125,weekday_mean_8w,125,53.25,25.5
2025-08-01,SKU-126,seasonal_naive,43,35.0,-7.0
2025-08-01,SKU-126,weekday_mean_8w,43,30.0,3.0
2025-08-01,SKU-127,seasonal_naive,132,70.0,20.0
2025-08-01,SKU-127,weekday_mean_8w,132,56.5,20.0
2025-08-01,SKU-128,seasonal_naive,54,46.0,-34.0
2025-08-01,SKU-128,weekday_mean_8w,54,46.25,4.5
2025-09-01,SKU-001,seasonal_naive,207,93.0,-43.0
2025-09-01,SKU-001,weekday_mean_8w,207,50.0,-2.0
2025-09-01,SKU-002,seasonal_naive,59,47.0,5.0
2025-09-01,SKU-002,weekday_mean_8w,59,35.75,-5.5
2025-09-01,SKU-003,seasonal_naive,131,63.0,9.0
2025-09-01,SKU-003,weekday_mean_8w,131,44.5,9.5
2025-09-01,SKU-004,seasonal_naive,310,178.0,2.0
2025-09-01,SKU-004,weekday_mean_8w,310,140.5,19.0
2025-09-01,SKU-005,seasonal_naive,35,23.0,-11.0
2025-09-01,SKU-005,weekday_mean_8w,35,24.75,11.5
2025-09-01,SKU-006,seasonal_naive,83,49.0,-11.0
2025-09-01,SKU-006,weekday_mean_8w,83,50.0,9.0
2025-09-01,SKU-007,seasonal_naive,160,84.0,20.0
2025-09-01,SKU-007,weekday_mean_8w,160,64.75,-5.5
2025-09-01,SKU-008,seasonal_naive,116,94.0,-24.0
2025-09-01,SKU-008,weekday_mean_8w,116,73.0,-38.0
2025-09-01,SKU-009,seasonal_naive,289,89.0,-29.0
2025-09-01,SKU-009,weekday_mean_8w,289,86.25,-33.0
2025-09-01,SKU-010,seasonal_naive,97,67.0,35.0
2025-09-01,SKU-010,weekday_mean_8w,97,52.75,5.5
2025-09-01,SKU-011,seasonal_naive,184,82.0,56.0
2025-09-01,SKU-011,weekday_mean_8w,184,60.5,-12.0
2025-09-01,SKU-012,seasonal_naive,76,66.0,32.0
2025-09-01,SKU-012,weekday_mean_8w,76,51.5,18.5
2025-09-01,SKU-013,seasonal_naive,627,149.0,-91.0
2025-09-01,SKU-013,weekday_mean_8w,627,147.75,-93.0
2025-09-01,SKU-014,seasonal_naive,80,60.0,8.0
2025-09-01,SKU-014,weekday_mean_8w,80,39.75,-6.0
2025-09-01,SKU-015,seasonal_naive,162,88.0,-46.0
2025-09-01,SKU-015,weekday_mean_8w,162,63.25,-38.0
2025-09-01,SKU-016,seasonal_naive,200,162.0,-32.0
2025-09-01,SKU-016,weekday_mean_8w,200,137.0,-21.5
2025-09-01,SKU-017,seasonal_naive,369,93.0,-57.0
2025-09-01,SKU-017,weekday_mean_8w,369,93.25,-52.5
2025-09-01,SKU-018,seasonal_naive,71,43.0,-7.0
2025-09-01,SKU-018,weekday_mean_8w,71,31.0,-15.0
2025-09-01,SKU-019,seasonal_naive,564,148.0,-124.0
2025-09-01,SKU-019,weekday_mean_8w,564,145.75,-124.5
2025-09-01,SKU-020,seasonal_naive,51,43.0,5.0
2025-09-01,SKU-020,weekday_mean_8w,51,38.25,7.5
2025-09-01,SKU-021,seasonal_naive,402,90.0,-58.0
2025-09-01,SKU-021,weekday_mean_8w,402,108.75,-43.0
2025-09-01,SKU-022,seasonal_naive,144,68.0,-8.0
2025-09-01,SKU-022,weekday_mean_8w,144,51.75,-24.5
2025-09-01,SKU-023,seasonal_naive,130,56.0,-22.0
2025-09-01,SKU-023,weekday_mean_8w,130,62.25,-59.0
2025-09-01,SKU-024,seasonal_naive,19,23.0,-11.0
2025-09-01,SKU-024,weekday_mean_8w,19,20.75,-6.5
2025-09-01,SKU-025,seasonal_naive,357,117.0,-89.0
2025-09-01,SKU-025,weekday_mean_8w,357,87.5,-29.0
2025-09-01,SKU-026,seasonal_naive,293,121.0,47.0
2025-09-01,SKU-026,weekday_mean_8w,293,91.5,-40.5
2025-09-01,SKU-027,seasonal_naive,194,88.0,38.0
2025-09-01,SKU-027,weekday_mean_8w,194,60.0,-9.5
2025-09-01,SKU-028,seasonal_naive,214,122.0,-66.0
2025-09-01,SKU-028,weekday_mean_8w,214,117.25,-50.0
2025-09-01,SKU-029,seasonal_naive,45,29.0,7.0
2025-09-01,SKU-029,weekday_mean_8w,45,28.0,-8.0
2025-09-01,SKU-030,seasonal_naive,501,167.0,-109.0
2025-09-01,SKU-030,weekday_mean_8w,501,95.5,-65.0
2025-09-01,SKU-031,seasonal_naive,143,81.0,-35.0
2025-09-01,SKU-031,weekday_mean_8w,143,61.5,-28.0
2025-09-01,SKU-032,seasonal_naive,218,164.0,-62.0
2025-09-01,SKU-032,weekday_mean_8w,218,127.5,-30.0
2025-09-01,SKU-033,seasonal_naive,267,135.0,-43.0
2025-09-01,SKU-033,weekday_mean_8w,267,99.75,-23.5
2025-09-01,SKU-034,seasonal_naive,256,110.0,-36.0
2025-09-01,SKU-034,weekday_mean_8w,256,75.75,-28.0
2025-09-01,SKU-035,seasonal_naive,86,52.0,2.0
2025-09-01,SKU-035,weekday_mean_8w,86,36.25,-3.0
2025-09-01,SKU-036,seasonal_naive,116,90.0,-32.0
2025-09-01,SKU-036,weekday_mean_8w,116,73.0,-29.5
2025-09-01,SKU-037,seasonal_naive,219,133.0,37.0
2025-09-01,SKU-037,weekday_mean_8w,219,90.0,-14.0
2025-09-01,SKU-038,seasonal_naive,129,57.0,15.0
2025-09-01,SKU-038,weekday_mean_8w,129,57.0,18.0
2025-09-01,SKU-039,seasonal_naive,400,124.0,52.0
2025-09-01,SKU-039,weekday_mean_8w,400,89.5,21.5
2025-09-01,SKU-040,seasonal_naive,285,181.0,79.0
2025-09-01,SKU-040,weekday_mean_8w,285,126.25,42.5
2025-09-01,SKU-041,seasonal_naive,736,128.0,60.0
2025-09-01,SKU-041,weekday_mean_8w,736,97.5,13.5
2025-09-01,SKU-042,seasonal_naive,34,32.0,-14.0
2025-09-01,SKU-042,weekday_mean_8w,34,33.0,-1.5
2025-09-01,SKU-043,seasonal_naive,239,93.0,21.0
2025-09-01,SKU-043,weekday_mean_8w,239,62.5,-3.5
2025-09-01,SKU-044,seasonal_naive,95,133.0,17.0
2025-09-01,SKU-044,weekday_mean_8w,95,97.0,35.5
2025-09-01,SKU-045,seasonal_naive,92,56.0,4.0
2025-09-01,SKU-045,weekday_mean_8w,92,52.75,26.0
2025-09-01,SKU-046,seasonal_naive,111,77.0,-11.0
2025-09-01,SKU-046,weekday_mean_8w,111,43.25,1.5
2025-09-01,SKU-047,seasonal_naive,73,51.0,11.0
2025-09-01,SKU-047,weekday_mean_8w,73,56.0,31.0
2025-09-01,SKU-048,seasonal_naive,108,82.0,-28.0
2025-09-01,SKU-048,weekday_mean_8w,108,73.0,3.0
2025-09-01,SKU-049,seasonal_naive,126,86.0,30.0
2025-09-01,SKU-049,weekday_mean_8w,126,42.75,13.5
2025-09-01,SKU-050,seasonal_naive,35,27.0,-15.0
2025-09-01,SKU-050,weekday_mean_8w,35,29.25,-2.0
2025-09-01,SKU-051,seasonal_naive,82,50.0,-6.0
2025-09-01,SKU-051,weekday_mean_8w,82,43.5,2.5
2025-09-01,SKU-052,seasonal_naive,104,110.0,16.0
2025-09-01,SKU-052,weekday_mean_8w,104,72.75,30.5
2025-09-01,SKU-053,seasonal_naive,86,46.0,14.0
2025-09-01,SKU-053,weekday_mean_8w,86,44.5,10.0
2025-09-01,SKU-054,seasonal_naive,94,52.0,2.0
2025-09-01,SKU-054,weekday_mean_8w,94,45.0,28.0
2025-09-01,SKU-055,seasonal_naive,185,81.0,-13.0
2025-09-01,SKU-055,weekday_mean_8w,185,60.0,15.0
2025-09-01,SKU-056,seasonal_naive,31,43.0,1.0
2025-09-01,SKU-056,weekday_mean_8w,31,31.75,3.0
2025-09-01,SKU-057,seasonal_naive,172,88.0,-12.0
2025-09-01,SKU-057,weekday_mean_8w,172,61.75,16.0
2025-09-01,SKU-058,seasonal_naive,202,112.0,-34.0
2025-09-01,SKU-058,weekday_mean_8w,202,98.75,65.5
2025-09-01,SKU-059,seasonal_naive,29,21.0,3.0
2025-09-01,SKU-059,weekday_mean_8w,29,26.75,16.0
2025-09-01,SKU-060,seasonal_naive,32,36.0,4.0
2025-09-01,SKU-060,weekday_mean_8w,32,28.75,4.0
2025-09-01,SKU-061,seasonal_naive,98,70.0,38.0
2025-09-01,SKU-061,weekday_mean_8w,98,53.0,12.5
2025-09-01,SKU-062,seasonal_naive,222,104.0,-54.0
2025-09-01,SKU-062,weekday_mean_8w,222,54.5,11.0
2025-09-01,SKU-063,seasonal_naive,129,87.0,51.0
2025-09-01,SKU-063,weekday_mean_8w,129,71.0,57.5
2025-09-01,SKU-064,seasonal_naive,132,96.0,-32.0
2025-09-01,SKU-064,weekday_mean_8w,132,70.75,8.5
2025-09-01,SKU-065,seasonal_naive,33,35.0,-17.0
2025-09-01,SKU-065,weekday_mean_8w,33,31.25,-1.5
2025-09-01,SKU-066,seasonal_naive,64,42.0,-8.0
2025-09-01,SKU-066,weekday_mean_8w,64,32.0,-5.5
2025-09-01,SKU-067,seasonal_naive,127,67.0,-23.0
2025-09-01,SKU-067,weekday_mean_8w,127,55.0,11.5
2025-09-01,SKU-068,seasonal_naive,216,192.0,140.0
2025-09-01,SKU-068,weekday_mean_8w,216,136.75,21.5
2025-09-01,SKU-069,seasonal_naive,68,64.0,-32.0
2025-09-01,SKU-069,weekday_mean_8w,68,35.25,-13.5
2025-09-01,SKU-070,seasonal_naive,203,103.0,-11.0
2025-09-01,SKU-070,weekday_mean_8w,203,62.75,-23.5
2025-09-01,SKU-071,seasonal_naive,38,34.0,-26.0
2025-09-01,SKU-071,weekday_mean_8w,38,24.75,4.0
2025-09-01,SKU-072,seasonal_naive,134,102.0,-26.0
2025-09-01,SKU-072,weekday_mean_8w,134,90.0,4.0
2025-09-01,SKU-073,seasonal_naive,104,80.0,-28.0
2025-09-01,SKU-073,weekday_mean_8w,104,55.75,-19.0
2025-09-01,SKU-074,seasonal_naive,68,48.0,-36.0
2025-09-01,SKU-074,weekday_mean_8w,68,40.25,-18.5
2025-09-01,SKU-075,seasonal_naive,69,45.0,7.0
2025-09-01,SKU-075,weekday_mean_8w,69,35.75,2.0
2025-09-01,SKU-076,seasonal_naive,149,131.0,-57.0
2025-09-01,SKU-076,weekday_mean_8w,149,108.25,-12.5
2025-09-01,SKU-077,seasonal_naive,316,120.0,-100.0
2025-09-01,SKU-077,weekday_mean_8w,316,81.25,-56.5
2025-09-01,SKU-078,seasonal_naive,533,149.0,-9.0
2025-09-01,SKU-078,weekday_mean_8w,533,93.25,-56.5
2025-09-01,SKU-079,seasonal_naive,21,25.0,3.0
2025-09-01,SKU-079,weekday_mean_8w,21,21.0,-6.0
2025-09-01,SKU-080,seasonal_naive,86,84.0,-2.0
2025-09-01,SKU-080,weekday_mean_8w,86,78.0,-15.0
2025-09-01,SKU-081,seasonal_naive,27,35.0,13.0
2025-09-01,SKU-081,weekday_mean_8w,27,21.25,5.5
2025-09-01,SKU-082,seasonal_naive,263,89.0,-23.0
2025-09-01,SKU-082,weekday_mean_8w,263,66.0,-36.5
2025-09-01,SKU-083,seasonal_naive,120,70.0,-16.0
2025-09-01,SKU-083,weekday_mean_8w,120,54.25,-34.5
2025-09-01,SKU-084,seasonal_naive,100,64.0,-20.0
2025-09-01,SKU-084,weekday_mean_8w,100,63.0,2.0
2025-09-01,SKU-085,seasonal_naive,301,103.0,11.0
2025-09-01,SKU-085,weekday_mean_8w,301,96.75,-28.0
2025-09-01,SKU-086,seasonal_naive,76,64.0,36.0
2025-09-01,SKU-086,weekday_mean_8w,76,40.25,15.0
